id;name;date;place;capacity;inscription_open;coeff;lake
1;drive Somoni Accountability;2020-11-10;Markets;74783;false;1;MEZE
2;override Cove Auto Loan Account;2020-11-10;Coordinator;61397;true;1;HYERES
3;rich full-range sky blue;2020-11-09;1080p Developer;10618;true;1;MONTEYNARD
4;panel;2020-11-09;Oregon;47350;false;1;MEZE
5;homogeneous;2020-11-10;Hawaii;39894;false;1;HYERES
6;Armenia Iran;2020-11-09;even-keeled;86828;false;0;LAFFREY
7;holistic granular violet;2020-11-10;Technician Centralized;991;true;0;HYERES
8;Graphical User Interface;2020-11-09;Right-sized;17894;false;1;MEZE
9;Enhanced pixel;2020-11-09;Representative;9954;true;0;MONTEYNARD
10;gold benchmark forecast;2020-11-10;San Marino;93259;false;0;LEUCATE
