id;board_id;name;volume;level;usable;comment
1;Solutions Tuna capacitor;Rubber Face to face;64987;BEGINNER2;true;../fake-data/blob/hipster.txt
2;Practical Fresh Shirt;applications driver leading edge;82712;BEGINNERSUP;false;../fake-data/blob/hipster.txt
3;invoice Tasty Metal Pants;JSON;33159;FOIL;false;../fake-data/blob/hipster.txt
4;programming input;Fiji Dollar Cotton compress;73745;BEGINNER;true;../fake-data/blob/hipster.txt
5;Berkshire conglomeration;payment payment;72612;PERFSUP;true;../fake-data/blob/hipster.txt
6;Handcrafted withdrawal next-generation;Chips eyeballs redefine;62732;PERF;true;../fake-data/blob/hipster.txt
7;Trinidad and Tobago Dollar Plastic;Accounts De-engineered synthesize;33935;BEGINNERSUP;false;../fake-data/blob/hipster.txt
8;Consultant;Creative card Forks;33113;PERF;true;../fake-data/blob/hipster.txt
9;Re-engineered;support white;45087;BEGINNER2;true;../fake-data/blob/hipster.txt
10;Awesome Metal Car Harbors Gloves;gold Avon Outdoors;37149;FUN;false;../fake-data/blob/hipster.txt
