id;sail_id;name;area;level;usable;comment
1;back up Soap;Regional IB;23636;FOIL;false;../fake-data/blob/hipster.txt
2;red Palladium deposit;Avon;57129;BEGINNER2;true;../fake-data/blob/hipster.txt
3;Kroon;overriding convergence;71644;PERF;false;../fake-data/blob/hipster.txt
4;revolutionary Agent reintermediate;Borders impactful Steel;48214;BEGINNER2;true;../fake-data/blob/hipster.txt
5;Corporate;optimizing interface transmitting;86117;BEGINNER;true;../fake-data/blob/hipster.txt
6;Auto Loan Account application;withdrawal Generic Facilitator;51413;BEGINNER;false;../fake-data/blob/hipster.txt
7;Balanced;moratorium;10425;MONITOR;true;../fake-data/blob/hipster.txt
8;AGP plum Accounts;Synergized transmitting Plastic;83248;BEGINNER2;false;../fake-data/blob/hipster.txt
9;Concrete Wooden array;global Solutions;97813;BEGINNERSUP;false;../fake-data/blob/hipster.txt
10;Balanced deposit Home Loan Account;Avon;79151;FOIL;false;../fake-data/blob/hipster.txt
