id;tracksuit_id;name;size_min;size_max;weight_min;weight_max;comment
1;88855;quantifying Games Avon;41375;75649;41912;62656;../fake-data/blob/hipster.txt
2;1038;Practical Rubber Bike implement Towels;71364;60469;71805;21574;../fake-data/blob/hipster.txt
3;6946;program streamline Chief;14762;17372;91897;87762;../fake-data/blob/hipster.txt
4;36233;olive radical;67340;22531;96254;99222;../fake-data/blob/hipster.txt
5;57895;Buckinghamshire open-source;59917;11910;77881;16155;../fake-data/blob/hipster.txt
6;10930;Sleek Granite Chicken;28289;44764;40735;42340;../fake-data/blob/hipster.txt
7;39966;Japan Markets transmitting;54337;74569;48684;75781;../fake-data/blob/hipster.txt
8;70330;compressing;93629;40231;74339;87425;../fake-data/blob/hipster.txt
9;9344;channels alarm Specialist;16904;93642;35898;63983;../fake-data/blob/hipster.txt
10;19987;methodology;42908;58081;56784;5305;../fake-data/blob/hipster.txt
